Other Songs I Know	Artists	ID	ExCol
Kerney Sermon (Skit)	J. Cole	Born Sinner	spotify:track:38k4PhKjLcPOiSdobEgXCW
Intro	Raekwon	Fly International Luxurious Art	spotify:track:64dX1ULYuVwCTTPkNaO1LY
Gorgeous	VIC MENSA, Syd	The Autobiography	spotify:track:61cemCJJO7XMhysxZUid1C
Good Grief - Autograf Remix	Bastille, Autograf	Good Grief (Autograf Remix)	spotify:track:1djmxXkYqjTkkchDHDBzVH
1998	Maxo Kream, Joey Bada$$	#Maxo187	spotify:track:5S8Cci9zkKu0Ct7FMiXVUy
Healing Is Difficult	Sia	Healing is Difficult (10th Anniversary Edition) (Deluxe)	spotify:track:7wi1dOmggv2NLTNFb2MMo4
Save Me	KB	Tomorrow We Live	spotify:track:5kEqd1iZuBjkTZNvx2HIQi
Billie Jean 2008 Kanye West Mix (feat. Kanye West) - Thriller 25th Anniversary Remix	Michael Jackson, Kanye West	Thriller 25 Super Deluxe Edition	spotify:track:17bgTUPOnLLVavmeS2Pc0B
Skit (Fuck You Up Card)	Raekwon	The Wild	spotify:track:1IbdjAaiJCkA1lAKMvjfSF
Blame - Bearcubs Remix	Bastille, Jack Ritchie	Blame (Remixes)	spotify:track:056Kn0DcwNwIoP2a5lMg77
Demons - Imagine Dragons Remix	Imagine Dragons	Demons	spotify:track:2YaY6wwlPAi4FK9MnNX8Im
Beautiful Now - Grey Remix	Zedd, Jon Bellion, Grey	Beautiful Now (Grey Remix)	spotify:track:3cfuTXCcN6BqTBpsUHsqVP
Intro	Kanye West	The College Dropout	spotify:track:6EnfW37wjj3qcwQDv602CA
Workout Plan	Kanye West	The College Dropout	spotify:track:3nPy7iQUaAgZeCeAWpCMG5
The New Workout Plan	Kanye West	The College Dropout	spotify:track:0fDf7lTJ6A6uzGWUEJHcCq
Intro	Raekwon	The Tonite Show	spotify:track:69ArqlZCMzk2KSwDlX7ct9
So Much Body	Raekwon	The Tonite Show	spotify:track:5ceDEHxb0wtpbwr3J9iVG5
Skit	Raekwon	The Tonite Show	spotify:track:6PFN8CnPPDsEzvlgz566LD
Bigger Gun Ft. Mean Doe Green	Raekwon, Mean Doe Green	The Tonite Show	spotify:track:5lFhNeJSJ5m36Tl8yZEAPy
Outro	Raekwon	The Tonite Show	spotify:track:6IbnAByTcP1Xhnz3pL1gpw
Free The Madness (feat. Machine Gun Kelly) - TAI Remix	Steve Aoki, Machine Gun Kelly, TAI	Free The Madness (feat. Machine Gun Kelly) [Remixes]	spotify:track:1QTFGa1KBUpKjbyeCgXnbN
Running Back (feat. Lil Wayne)	Wale, Lil Wayne	Shine	spotify:track:2h3i5tGUl6hMu572umjcGo
Headphones	WALK THE MOON	What If Nothing	spotify:track:2fu85nhD3NadF1IIKYc3L0
Press Restart	WALK THE MOON	What If Nothing	spotify:track:6qtJjCxvfv2GV10ZIEtUUo
LSD	Jhené Aiko	Trip	spotify:track:76u71tQ2GALnwY0VJyOu83
Candy Cane Lane	Sia	Everyday Is Christmas	spotify:track:1NfNdnuFbTgYpRG0z5bHxv
Puppies Are Forever	Sia	Everyday Is Christmas	spotify:track:0rFmOqwMT4hSaHYFTNIpyP
Crumbs	Shelley FKA DRAM, Playboi Carti	Crumbs	spotify:track:1JVy7tmBlRKPCKu3lCUWhQ
Dance While You Shoot	Noga Erez	Dance While You Shoot	spotify:track:65FYSWbtuTiDfphgzd7DhU
Best Friend (feat. NERVO, The Knocks & ALISA UENO)	Sofi Tukker, NERVO, The Knocks, ALISA UENO	Best Friend (feat. NERVO, The Knocks & ALISA UENO)	spotify:track:1Cicn7ce1xoVlq8gthE2eX
Born To Boogie	Hank Williams, Jr., Brantley Gilbert, Justin Moore, Brad Paisley	It's About Time	spotify:track:6BfdRoYFp75HUVW1k4lkfs
Get Me	Sia	Healing is Difficult (10th Anniversary Edition) (Deluxe)	spotify:track:43GxV9EG9YlZ42DMfV39Tf
Saturday Night's Alright For Fighting	Fall Out Boy	Goodbye Yellow Brick Road (40th Anniversary Celebration/ Deluxe Edition)	spotify:track:2heFMvo0IUTmy16Oh8uoLF
Homesick at Space Camp	Fall Out Boy	Take This to Your Grave	spotify:track:5sIweazpg4JYBjyxABUx9y
Sue	Yellowcard	Where We Stand	spotify:track:5l6xzR3NYHT9K8JhFScLMh
Nobody To Love - Radio Edit	Sigma	Nobody To Love	spotify:track:7vGWH8cSr389jeNN4fsXYQ
Shit Can Happen	D12	Devils Night	spotify:track:4k26Z0ncaGQ6JisQblsCom
Just A Sip	Luke Bryan	Spring Break...Here To Party	spotify:track:5uvK3SW0P0UCCJKWB7eFUp
Insidiously	Sia	Healing is Difficult (10th Anniversary Edition) (Deluxe)	spotify:track:2q2EmpPA3xsSiAA5LBs6QQ
Drunk and Hot Girls	Kanye West, Mos Def	Graduation	spotify:track:1xMT0HHQbQFmGJXDq1ApgX
Thing for Your Girlfriend (feat. Kay Young)	Royce Da 5'9", Kay Young	Street Hop (Deluxe)	spotify:track:6BhY8qzYeM2CiaR0ZslS3j
Mylo Xyloto - Live	Coldplay	Live 2012	spotify:track:0ejLFn10FIMPNSwCmIviyR
Wake	Linkin Park	Minutes to Midnight	spotify:track:0GkuKdv0osuL9QhfnXqVNP
Tear in My Heart (feat. MUTEMATH)	Twenty One Pilots, Mutemath	TOPxMM	spotify:track:5dbgfhQpLiycbirhH3dJdh
Red Cold River	Breaking Benjamin	Red Cold River	spotify:track:5eOb0vsZDRtczatY3MEVk2
That's How You Know (feat. Kid Ink & Bebe Rexha)	Nico & Vinz, Kid Ink, Bebe Rexha	That's How You Know (feat. Kid Ink & Bebe Rexha)	spotify:track:6qa5kiR3n4HjsZwD1mFBex
One Candle	J. Ralph, Sia	Racing Extinction (Original Motion Picture Soundtrack)	spotify:track:0wzYqIyQEpChJxgbdcqCyA
Light It Up (feat. Drama B)	Fareoh, Drama B	Light It Up (feat. Drama B)	spotify:track:3FctcCWYKDtUcMDpu83XlF
Don't Wanna Know - Total Ape Remix	Maroon 5, Kendrick Lamar, Total Ape	Don't Wanna Know (Total Ape Remix)	spotify:track:2k9OwrZbpcvmpA9vtc9uZH
The Faf Remix	Various Artists, Troy Ave, Royce Da 5'9", DJ Whoo Kid, Shale, Mike Smith, Renzo, Jonathan Hay	When Music Worlds Collide	spotify:track:20Bn3b3suP827s6l3QSs56
Filthy	Justin Timberlake	Filthy	spotify:track:1L3NV7VrCiuE8C5QlhdeQL
Super Potent	The Underachievers	Renaissance	spotify:track:5NSmGCBqoJLPAXzMfK6kwX
Super Saiyan	Lil Uzi Vert	Luv Is Rage	spotify:track:2sO7QVPRKEPyY5RcG3N6Ic
OK BITCH	2 Chainz	The Play Don’t Care Who Makes It	spotify:track:4WhQz4oEO01PSfSvIY2dwX
Sorry Not Sorry	Demi Lovato	Tell Me You Love Me	spotify:track:3Du2K5dLzmduCNp6uwuaL0
Having Sex (feat. Trina & 2 Chainz)	Juicy J, Trina, 2 Chainz	Stay Trippy (Deluxe)	spotify:track:2LbPMk41hENkOzmhWSZxWP
Cadillac, Cadillac	Train	Bulletproof Picasso	spotify:track:1GB4orTCSleViJ3vm5wXw1
Greed	Patrick Stump	Soul Punk (Deluxe Edition)	spotify:track:3huymC6KONQdiUnXdHdFjL
Little Man	Sia	Healing is Difficult (10th Anniversary Edition) (Deluxe)	spotify:track:5Zk9voTZepFltTUFu8so4v
Sororicide	Raffaella	Sororicide	spotify:track:69Ze3ckLo7AOGa8QYrihH0
No Can Left Behind	Cole Swindell	You Should Be Here	spotify:track:60YeBxW36L3j3pWo1t9AqO
Poppi Wardrobe King (feat. Hashous Clay)	Cappadonna, Hashous Clay	The Pillage 2	spotify:track:1i2B4g0Ec8g0gZHxTtlEwb
No Beef (feat. Miss Palmer)	Afrojack, Steve Aoki, Miss Palmer	No Beef (feat. Miss Palmer)	spotify:track:2o1F0b0NCGabe7BbLNqe5J
Wasted (feat. Juicy J)	Travis Scott, Juicy J	Rodeo (Expanded Edition)	spotify:track:3dtBVBClM5ms0qCBBrqpUb
Grandpa's Space Ship	Logic	Bobby Tarantino II	spotify:track:3atCD3dVosUsd3KM2yzfeC
Nothing But Trouble - Instagram Models; Dance Remix	Charlie Puth	Nine Track Mind (Deluxe Edition)	spotify:track:7fKcyTRIPtKEQYnuF1eu87
Shore Thing	Luke Bryan	Spring Break...Here To Party	spotify:track:1DjqOYQBYFJq09rCh8rUiM
Pumpin Blood - The Jane Doze Remix	NONONO, The Jane Doze	Pumpin Blood (Remixes)	spotify:track:1tUQnjteEl3YacfawvrYwf
King's Dead (with Kendrick Lamar, Future & James Blake)	Jay Rock, Kendrick Lamar, Future, James Blake	Black Panther The Album Music From And Inspired By	spotify:track:1eLSF6HfrRA0AsNmTkUlKx
Jump (Vingo Slang Club Mix)	Lupe Fiasco, Gizzle	Jump (Vingo Slang Club Mix)	spotify:track:4PCXTq7SWeTFt4K4TfWfSW
Sober and Unkissed	Sia	Healing is Difficult (10th Anniversary Edition) (Deluxe)	spotify:track:6zT2nTyVELeo2sdPby8OGS
Bust No Moves (feat. Cuz)	Run The Jewels, Cuz	Bust No Moves (feat. Cuz)	spotify:track:1FxiTHS50tXOtTO1W9UZrv
Walk On By (Chopnotslop Remix)	Thundercat, OG Ron C, DJ Candlestick, Kendrick Lamar	Drank	spotify:track:5jw7QN53CV57OYSDFoNebi
Good Grief - MK Remix	Bastille, MK	Good Grief (MK Remix)	spotify:track:1WMjAPhU2wJbiMxiPcRQ1I
the light is coming (feat. Nicki Minaj)	Ariana Grande, Nicki Minaj	the light is coming	spotify:track:397Un0hOSVgAdLcIHpGAxp
Grandma (Skit)	A$AP Ferg	ALWAYS STRIVE AND PROSPER	spotify:track:7LS85JPpoXxfM0hmNIHfFG
Damn Not Again (Skit)	A$AP Ferg	ALWAYS STRIVE AND PROSPER	spotify:track:1W5OlFEH009BuAa0bZLeZQ
Wake + Bake	Machine Gun Kelly	bloom	spotify:track:1IoQsA58Sj2odO1pp2dEVe
More Middle Fingers	Justin Moore, Brantley Gilbert	Kinda Don't Care (Deluxe Version)	spotify:track:44L6KjWYaSuzHrWM2F9bGN
Wild Thoughts	DJ Khaled, Rihanna, Bryson Tiller	Wild Thoughts	spotify:track:4IIUaKqGMElZ3rGtuvYlNc
LIES GREED MISERY	Linkin Park	LIVING THINGS	spotify:track:3aZQQWGNShP6IzzaprPlFX
Sangria Wine	Pharrell Williams, Camila Cabello	Sangria Wine	spotify:track:6XlSyYFTU1nodeWwwzVgTV
I Like It	Cardi B, Bad Bunny, J Balvin	Invasion of Privacy	spotify:track:58q2HKrzhC3ozto2nDdN4z
Setting the World On Fire	Kenny Chesney, P!nk	Setting the World On Fire	spotify:track:4I5azUh7XiUcjFzAZUPfzX
Hungry Ham	A$AP Ferg, Skrillex, Crystal Caines	ALWAYS STRIVE AND PROSPER	spotify:track:60Wt2a7or8CwqAkqr6qMCM
Thunder	Imagine Dragons	Thunder	spotify:track:0oP9pK1D1lNF3Lb7jkl6Xx
Boulder	Krystal Keith	Boulder	spotify:track:29pBKtGPaCpC1u12NTvT0V
TV On (Big Boss)	Chief Keef	Mansion Musick	spotify:track:2LRkr5PNc0LdkL14xutleS
Bumble Bee	Zedd, Botnek	True Colors	spotify:track:0L2tjlCReyNfmL37wZh6kF
Savage Skit	Conway the Machine	Blakk Tape	spotify:track:0qxyrbDKaSKzd14dUKopEG
circulation	fam	OPUS	spotify:track:29buKMzim5jDwryjc7mZSV
Intro	Royce Da 5'9"	Death Is Certain	spotify:track:7zj8iPF2vyzisYkymBdLQH
Built This Pool	blink-182	California	spotify:track:1oBECT3z0l4yfVnUjzen8M
The Procedure (Intro)	Tech N9ne	Special Effects	spotify:track:0GH1xMmDjOHjt4IX1OorWa
Empty Spaces	Linkin Park	A Thousand Suns	spotify:track:0gAyeEbyhScQy3c8L1WZOp
raindrops (an angel cried)	Ariana Grande	Sweetener	spotify:track:0v2LUO8oTHnkjQ8MmKuXyk
sweetener	Ariana Grande	Sweetener	spotify:track:70khXICDeTTxgYtw3EysKH
Back In Brazil	Paul McCartney	Egypt Station	spotify:track:0U6h6BIv3HKpkp3ZKH9wCk
I Love It (& Lil Pump)	Kanye West, Lil Pump	I Love It	spotify:track:4S8d14HvHb70ImctNgVzQQ
Jefe (feat. Meek Mill)	T.I., Meek Mill	Jefe (feat. Meek Mill)	spotify:track:595Sl1FDWMXRUktv5LO2gD
LUVSICK	Kai Wachi, Ylti	LUVSICK	spotify:track:1TETHNbvpRvlniNVjbKLmQ
Holy Shit	Amir Obe	Holy Shit	spotify:track:3QH9zoFseFsJDiqr0HY4kc
CAN'T GET OVER YOU (feat. Clams Casino)	Joji, Clams Casino	CAN'T GET OVER YOU (feat. Clams Casino)	spotify:track:7ewESHEg3P3JN66IcWwDho
Mo Bamba	Sheck Wes	MUDBOY	spotify:track:1xzBco0xcoJEDXktl7Jxrr
Hey Ya! - Live Session from Spotify Studios NYC	Panic! At The Disco	Spotify Singles	spotify:track:22qQjtiv3Xy1P8WvpA6HgR
Let It Bang	A$AP Ferg, ScHoolboy Q	ALWAYS STRIVE AND PROSPER	spotify:track:59ygbs7mKVkrykO22dvmBq
Plug Walk	Rich The Kid	The World Is Yours	spotify:track:6mAz8D1TmlTuef90dbNIiZ
1-800-273-8255	Our Last Night	1-800-273-8255	spotify:track:1wp1aHirvZihTdrtdFuFv0
Switch	Iggy Azalea, Anitta	Switch	spotify:track:052ekJWXgZuiW8uEfclKGu
Inside Out	Madonna	Rebel Heart (Deluxe)	spotify:track:1n2mtdytZ0ZUVEha3oHKmQ
Play That Song	Train	Play That Song	spotify:track:3ZMFrvkNgwwMfPdX3aThYs
Kream (feat. Tyga)	Iggy Azalea, Tyga	Survive The Summer	spotify:track:5mu1uv8RmzDkF8foePK5qa
Back on the Porch	Juicy J	Rubba Band Business	spotify:track:3t6w9E3xXyDsriDpyJleb7
Messin' Around	Pitbull, Enrique Iglesias	Messin' Around	spotify:track:6rKEs1WbHJIi88UpHRhFLD
Money	Cardi B	Money	spotify:track:2GGMabyHXnJmjY6CXhhB2e
Feels (feat. Pharrell Williams, Katy Perry & Big Sean)	Calvin Harris, Pharrell Williams, Katy Perry, Big Sean	Feels (feat. Pharrell Williams, Katy Perry & Big Sean)	spotify:track:6BaCraQ9xeLYg4Sb9TBT2X
Team	Iggy Azalea	Team	spotify:track:5HECcy1xFIH8RbCG813DgD
Bitches On Bitches (feat. Lil Pump)	Tee Grizzley, Lil Pump	Still My Moment	spotify:track:6DdR2b4L4XByiSirQ5tTa3
Barbie Tingz	Nicki Minaj	Barbie Tingz	spotify:track:2qsQ8eVDPmobZpvDxQCVQu
Look Alive (feat. Drake)	BlocBoy JB, Drake	Look Alive (feat. Drake)	spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL
Bank Account	21 Savage	Issa Album	spotify:track:2fQrGHiQOvpL9UgPvtYy6G
Mele Kalikimaka	Kacey Musgraves, The Quebe Sisters	A Very Kacey Christmas	spotify:track:7KObgYiok4BqaeRZttDDCO
FlyMuthaFucka	B.o.B	Underground Luxury	spotify:track:5H39b80WRuNFDFGDX0058o
Say Amen (Saturday Night)	Panic! At The Disco	Say Amen for Silver Linings	spotify:track:4qSsjDGXplb6422X2INvFW
Lacrimosa	Tech N9ne	Special Effects	spotify:track:46C4XO0qgPnj0RXOCRuQHp
World Series	Machine Gun Kelly	General Admission (Deluxe)	spotify:track:5qkAxtjTFSXDbfB37LWQNH
Work	Rihanna, Drake	ANTI	spotify:track:32lmL4vQAAotg6MrJnhlQZ
This Is Why We Can't Have Nice Things	Taylor Swift	reputation	spotify:track:07NxDD1iKCHbAldceD7QLP
Cold Water	Major Lazer, Justin Bieber, MØ	Cold Water	spotify:track:7zsXy7vlHdItvUSH8EwQss
a&t	21 Savage	i am > i was	spotify:track:6ho88pvz4c8WCSFbdVXNia
good day	21 Savage	i am > i was	spotify:track:2LqoYvMudv9xoTqNLFKILj
Better - noclue? Remix	Khalid, noclue?	Better (noclue? Remix)	spotify:track:7MvSmQSG0iiZCQieeO9tNR
Wow.	Post Malone	Wow.	spotify:track:6MWtB6iiXyIwun0YzU6DFP
Yes Indeed	Lil Baby, Drake	Harder Than Ever	spotify:track:6vN77lE9LK6HP2DewaN6HZ
Startender (feat. Offset and Tyga)	A Boogie Wit da Hoodie, Tyga, Offset	Hoodie SZN	spotify:track:0jAfdqv18goRTUxm3ilRjb
STOOPID	6ix9ine, Bobby Shmurda	STOOPID	spotify:track:1jQvUmf16VE9WQCPuK2e8K
How Long	Charlie Puth	How Long	spotify:track:32DGGj6KlNuBr6WaqRxpxi
New Level	A$AP Ferg, Future	ALWAYS STRIVE AND PROSPER	spotify:track:2UpE67vxExuI88pqqUqqki
One Kiss (with Dua Lipa)	Calvin Harris, Dua Lipa	One Kiss (with Dua Lipa)	spotify:track:7ef4DlsgrMEH11cDZd32M6
Show Your Colors	Genevieve	Show Your Colors	spotify:track:67pcLx6RuAzEk5VGJxJkmJ
Are You Leaving With Him	Luke Bryan	Spring Break...Checkin' Out	spotify:track:7z6s46Ty2Gx4KFV6qeldC6
Eddie Cane	Machine Gun Kelly	General Admission (Deluxe)	spotify:track:5qbhBDzV7r3RjT4ASzc49L
GATman And Robbin	50 Cent, Eminem	The Massacre	spotify:track:1hWjIe6XRGRtXFyxlaBrC7
Freak	XYLØ	Freak	spotify:track:6FXlU48nPGYZ3i4Jrmm3vQ
Taki Taki (with Selena Gomez, Ozuna & Cardi B)	DJ Snake, Selena Gomez, Ozuna, Cardi B	Taki Taki (with Selena Gomez, Ozuna & Cardi B)	spotify:track:4w8niZpiMy6qz1mntFA5uM
Nuketown (feat. Juice WRLD)	Ski Mask The Slump God, Juice WRLD	STOKELEY	spotify:track:74lnM5V6ecvoTPV0fvptx9
Take A Step Back	Ski Mask The Slump God, XXXTENTACION	You Will Regret (Reloaded)	spotify:track:2gQYziDV5cSTRSqr6akzi5
Can’t Walk	Machine Gun Kelly	bloom	spotify:track:2nSXFruCory4EyX08HYwcf
Thanks for Nothing	Brandyn Burnette	Thanks For Nothing	spotify:track:31YbmHDPx0UonR0uaB9z3c
PettyWap	Young M.A	PettyWap	spotify:track:113O9yo2Ayl4OsKfBdzbVh
KMT	Drake, Giggs	More Life	spotify:track:2jTujnt0y344ai1rNOywgr
High Up	Mansa the Legend	High Up	spotify:track:6BjzOIrP6DfSiwDtknEQ1J
Look At Me!	XXXTENTACION	Revenge	spotify:track:6eYxmK9fdL4hwLnXG2zY3s
Blow Dat	Royce Da 5'9"	Lost Files	spotify:track:3oM28oiF7kZRBVtdSyaggf
Love or the Drugs	joan, Sonnie Betts	Love or the Drugs	spotify:track:6oBjR5JBLCVdwlaHVYkYUf
Sing It All Away	Walk Off the Earth	Sing It All Away	spotify:track:3P9jndOEcFc0ir0dBHoZMG
People Never Done A Good Thing	Patrick Stump	Soul Punk (Deluxe Edition)	spotify:track:4RNBygpt430mbXRlK7wif7
Two Player Game	The 8-Bit Big Band	Two Player Game	spotify:track:4wN81Oo5HY6KmPS4QYzNAC
Psycho (feat. Ty Dolla $ign)	Post Malone, Ty Dolla $ign	beerbongs & bentleys	spotify:track:3swc6WTsr7rl9DqQKQA55C
Omen	Disclosure, Sam Smith	Caracal	spotify:track:5EesxLm3rzZ6Of3ikalrOb
Tell That Mick He Just Made My List of Things to Do Today	Fall Out Boy	Take This to Your Grave	spotify:track:6mCjOSXkABONouTVa6PQOy
Nice Guy (with Jessie Reyez)	Eminem, Jessie Reyez	Kamikaze	spotify:track:09FfQO3PqHO4HIJL511Ksi
How Many Drinks? (feat. Kendrick Lamar)	Miguel, Kendrick Lamar	How Many Drinks? (feat. Kendrick Lamar)	spotify:track:2dDCkXBbVDI4YR21lrQRK6
Chapter Ten	Kendrick Lamar	Section.80	spotify:track:2C1C4QjjMmru4mYrPSQzWs
She Needed Me	T-Pain	Oblivion	spotify:track:7AyHFcyARLaghvnRlf9cL5
Fly	Sleeping With Sirens	Fly	spotify:track:7CfkPRMMRKVuI2sz75BiC0
California Nights	Best Coast	California Nights	spotify:track:4fOYaXpaDOjLZWGJ0l7tF4
Jerome (feat. Joey Bada$$)	Mick Jenkins, Joey Bada$$	The Water[s]	spotify:track:6nYaBw2c8TkXpANNO8si3b
Rewrite	Sia	Colour The Small One (Deluxe Edition)	spotify:track:1NP87thefQivXXzWKjeA5t
The Bully	Sia	Colour The Small One (Deluxe Edition)	spotify:track:5yQ2UhHXIFpfFVrGfzGmHg
Sweet Potato	Sia	Colour The Small One (Deluxe Edition)	spotify:track:5FKia0SfIWsijotM6L0NJE
Numb	Sia	Colour The Small One (Deluxe Edition)	spotify:track:4sA4zSF1DVXRUYQ9rHPGw2
Focused	K.A.A.N., Bleverly Hills	4 / 29 / 17	spotify:track:6RDMqPazRhNHpxHV5KOafo
My Name (feat. Eminem & Nate Dogg)	Xzibit, Eminem, Nate Dogg	Man VS Machine	spotify:track:24S7rWWB6ohk2j5ABrm5DJ
Against the Odds	PROMISE, Jhené Aiko	Awakening	spotify:track:6CJybBTxx7fKkgYdMwuOhV
Dance Miserable	Patrick Stump	Soul Punk (Deluxe Edition)	spotify:track:0EhRNdWsIM9iOjBa1fsLO7
The "I" In Lie	Patrick Stump	Soul Punk (Deluxe Edition)	spotify:track:6TIsG45LrXV2Ap1FnCruk0
Run Dry (X Heart X Fingers)	Patrick Stump	Soul Punk (Deluxe Edition)	spotify:track:5JbwOWa24d54dVVl3YnmN9
Don't Miss It	James Blake	Don’t Miss It	spotify:track:1sKuHiB2kQ6JORnS38wU9y
I Remember	Genodaboss	Bnc4life, Vol. 3	spotify:track:0yWYmWd1I1bGfWGCFTFvsx
Pusher (feat. Anna Lunoe)	Sleepy Tom, Anna Lunoe	Pusher (feat. Anna Lunoe)	spotify:track:1gpoVsmF7pQPZ6BZ8wxXwy
Symphony in H	Tony Touch, Eminem	The Piece Maker 3: Return of the 50 Mcs	spotify:track:4lGlcPg59pHEGJOWjOscZ1
Porcelain (Feat. Alph-A-Bit)	Patrick Stump	Truant Wave EP	spotify:track:4EirB81RXOF7ExhgMjSfg5
Dark Skies	NERO	Dark Skies	spotify:track:4HTOuC1qORe67AZqyZjIbW
2 Shots	Dizzy, Ace Hood, Sir Remix Allot	Braking the Bank	spotify:track:7JiB5P8QgTjfC0icgHrTdp
Rip Your Heart Out (feat. Tech N9ne)	Hopsin	Knock Madness	spotify:track:1zZXXOfcYKJbUh494VmGVB
Studio Ambience At Night: Malibu	Logic	Bobby Tarantino	spotify:track:7mfLCMIvu0cZVNpvdXEVT5
The Re-Up	Eminem, 50 Cent	Eminem Presents The Re-Up	spotify:track:2hsIrCQRVuKrW5Qg5TsmWU
Only Girl	Kali Uchis, Steve Lacy, Vince Staples	Only Girl	spotify:track:2id1xnRQloCopsF5IFRY15
Skit (Bang Head Right)	Raekwon	The Wild	spotify:track:75lzlrkNd5qVXTGDmqbEa4
Crazy	Pharoahe Monch	9th Wonder Presents: Jamla Is The Squad II	spotify:track:6lOKigKhTmljXEW2rPYvMC
Uptown's First Finale (feat. Stevie Wonder & Andrew Wyatt)	Mark Ronson, Stevie Wonder, Andrew Wyatt	Uptown Special	spotify:track:41RffU6OSMWONC8uTjyude
Do They Know It's Christmas? - 2004 Version	Band Aid 20	Do They Know It's Christmas?	spotify:track:6HlqioVbMHWnPOmm5Wf7NN
Ghosts	The Head And The Heart	The Head and the Heart	spotify:track:2mSuo3pB7VknzwD0WCS3RS
Pick Your Poison	Tankhead, Ikabod Veins	XXXTENTACION Presents: Members Only, Vol. 4	spotify:track:4D3v2iwl2YlW4Y0jTHFL2F
What I Did for Love (feat. Emeli Sandé) vs. S.T.O.P. (feat. Ryan Tedder) - Listenin' Continuous Mix	David Guetta	Listen Again	spotify:track:2Hz8yIuevyviT7k2LN0NyU
The Only Way I Know	Jason Aldean, Luke Bryan, Eric Church	Night Train	spotify:track:3zsoPM1JcTORBOUdFfzIEf
Drama Setter	Tony Yayo, Eminem, Obie Trice	Thoughts Of A Predicate Felon	spotify:track:5EWWCzpA6D8UTRbVQbScp6
Ride	Royce Da 5'9", Big Hurk, Juan	Independent's Day	spotify:track:2XpSOTZv6BIbUEUqnJ7hrV
Mind Right	Royce Da 5'9", Kid Vishis	Trust the Shooter	spotify:track:0wACbHrZ4ahpuFA5hnNGcg
Christ Conscious (Live from SXSW 2015)	Joey Bada$$	Spotify Sessions	spotify:track:024tvFfBk940HN2mnndq6J
Christmas Don't Be Late	Kacey Musgraves	A Very Kacey Christmas	spotify:track:7AdDSbsbEBMyg7u0kSDPUr
All Good.	Bensie	All Good.	spotify:track:4CEHRUXlyi8NjnxbOixb0C
I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)	Lil Peep, ILOVEMAKONNEN, Fall Out Boy	I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)	spotify:track:2v5JTeM6hSmi5wWy7jiwrI
In My Feelings	Drake	Scorpion	spotify:track:0bAkKNCQfWkexHFn7fIKns
Swish Swish	Katy Perry, Nicki Minaj	Swish Swish	spotify:track:4jgvPFeCE4V2HkYX6luV9B
Los Awesome	ScHoolboy Q, Jay Rock	Oxymoron (Deluxe)	spotify:track:7sycKW6BGv7eTXVdtWkqom
Prescription/Oxymoron	ScHoolboy Q	Oxymoron (Deluxe)	spotify:track:3ljBzccXOpkHcGejRzHVjK
My Wave (Intro)	Keith Urban	Graffiti U	spotify:track:7KAIUxPbvLrCs33iMpi93H
My Wave	Keith Urban, Shy Carter	Graffiti U	spotify:track:6wEWlttx3wUooRC7ydITFL
Drop Top	Keith Urban, Kassi Ashton	Graffiti U	spotify:track:7xUv1Igrk1WG79VfD0xsXS
Brutal (feat. Meyhem Lauren)	Action Bronson, Meyhem Lauren	White Bronco	spotify:track:0sQSCf023bpW6lxm0zOhDF
Intro	Ghostface Killah	Supreme Clientele	spotify:track:4iB8gpoSlAN3rV6LmZHKIn
Money	5 Seconds of Summer	Sounds Good Feels Good (Deluxe)	spotify:track:18eGfsSjnEFAq4wim0kOCL
Hey Everybody!	5 Seconds of Summer	Sounds Good Feels Good (Deluxe)	spotify:track:3ylFvJfARlPKxGWAJv6Bvf
Foolish	Meghan Trainor	THE LOVE TRAIN	spotify:track:1jY7v9jG7kuUOGT9vVR6vs
BOOM	X Ambassadors	BOOM	spotify:track:3kosv2SiE01oo3QxTDJUtb
Bad Idea	Sara Bareilles, Jason Mraz	Bad Idea	spotify:track:6HtYcBQNHDfMBh50NZnjBp
Girl Crush - Recorded at Metropolis Studios, London	Harry Styles	Spotify Singles	spotify:track:4YutJsNwBBInE8vemufpQ8
No Candle No Light (feat. Nicki Minaj)	ZAYN, Nicki Minaj	No Candle No Light (feat. Nicki Minaj)	spotify:track:49ATdDBSasXb6wsHdrB2xQ
SHE DON'T LOVE ME	ZAYN	Mind Of Mine (Deluxe Edition)	spotify:track:4MaOXwqSgiwgngbeYePmu8
Uzi Gang	A$AP Ferg, Lil Uzi Vert, Marty Baller	ALWAYS STRIVE AND PROSPER	spotify:track:3TGmVN3HwbvWD4Isfqjzyn
Sugar (feat. Francesco Yates)	Robin Schulz, Francesco Yates	Sugar	spotify:track:5tf1VVWniHgryyumXyJM7w
i hate u, i love u (feat. olivia o'brien) - Robin Schulz Remix	Garrett Nash, Olivia O'Brien, Robin Schulz	i hate u, i love u (feat. olivia o'brien) [Robin Schulz Remix]	spotify:track:1nalr6pgeR33Oqy57JgTVT
Hot To The Touch, Cold On The Inside	Fall Out Boy	PAX AM Days	spotify:track:4Zz4iusX6TnaxeEMwd17vH
Where You End And I Begin	George Maple, GrandeMarshall	Where You End And I Begin	spotify:track:6EiRpFNPBLJiZsSjPXHsSu
